Ligand Short Name,Base File Name,KD1,KD2,Alpha,SC
Gen_8_Cross_881062,Gen_8_Cross_881062__1,0.0001194993975692358,2.6655342760556763e-06,44.83131154706628,-8.835124369588298
Gen_8_Cross_231859,Gen_8_Cross_231859__5,0.00021111358124123756,1.7083570853870422e-05,12.357696353242686,-7.829538386018103
Gen_8_Cross_142088,Gen_8_Cross_142088__5,3.723284423638072e-05,1.3564522063286917e-06,27.448695989926062,-9.83983819616309
Gen_8_Cross_178236,Gen_8_Cross_178236__5,1.105674793775579e-05,1.509802801699513e-07,73.23306014076631,-11.258731273593439
Gen_8_Cross_411165,Gen_8_Cross_411165__1,6.608141817785606e-06,6.489264974597642e-08,101.83189997100303,-11.811220627910485
Gen_8_Cross_897709,Gen_8_Cross_897709__1,1.54021564402432e-05,1.3564522063286917e-06,11.354735808886282,-10.18409975305994
Gen_8_Mutant_27_953149,Gen_8_Mutant_27_953149__5,5804.459714619175,9.676417733548232e-07,5998562561.53045,8.666381815938719
Gen_8_Cross_881062,Gen_8_Cross_881062__2,9.04875015211319e-05,2.2513308767194835e-06,40.192893215672214,-9.084281708029394
Gen_8_Mutant_7_354160,Gen_8_Mutant_7_354160__2,4.099933743371816e-05,1.1456700303328867e-06,35.78634017493271,-9.827343080957904
Gen_8_Cross_823851,Gen_8_Cross_823851__4,0.0001898600298465135,9.676417733548232e-07,196.20900531016449,-8.52577094667347
Gen_8_Cross_501033,Gen_8_Cross_501033__2,1.2900266350112047e-05,1.509802801699513e-07,85.44338595471432,-11.128024033831405
Gen_8_Cross_920985,Gen_8_Cross_920985__4,1.7913835525175013e-05,1.7875786982849592e-07,100.212849606912,-10.821947588903683
Gen_8_Mutant_16_157959,Gen_8_Mutant_16_157959__4,4.476004571394778e+25,0.00021515567725685956,2.0803562464453047e+29,59.063358136612806
Gen_8_Cross_482185,Gen_8_Cross_482185__1,7705409798.001887,0.0007017257554849765,10980656955759.771,22.765188490285468
Gen_8_Cross_76543,Gen_8_Cross_76543__1,1.9320164154252396e-06,1.9896693111168913e-08,97.1023880516462,-13.022831890817855
Gen_8_Cross_477868,Gen_8_Cross_477868__4,3.041693373515451e+21,0.00021515567725685956,1.4137174590490505e+25,49.466701343970705
Gen_8_Cross_920985,Gen_8_Cross_920985__5,8.724324030990565e-06,9.096731904955463e-08,95.90613554564548,-11.529182379039268
Gen_8_Mutant_11_797238,Gen_8_Mutant_11_797238__2,1.8801923275540328e-06,1.680490097169955e-08,111.88357079404325,-13.067342371807273
Gen_8_Cross_732161,Gen_8_Cross_732161__3,1.9920177968062503e-05,6.489264974597642e-08,306.97125246141803,-10.788631957046125
Gen_8_Cross_994185,Gen_8_Cross_994185__4,7.843100866690073e-06,2.505849929223415e-07,31.299164308377872,-11.391907848151549
Gen_8_Cross_654338,Gen_8_Cross_654338__4,1.6276042731578964,1.9014914803386492e-06,855961.9067386121,0.487108593499464
Gen_8_Cross_343491,Gen_8_Cross_343491__2,8.735971578544167e-06,6.489264974597642e-08,134.62189651279925,-11.562175103385155
Gen_8_Cross_277924,Gen_8_Cross_277924__5,5.3129984710974e-06,1.0770362963297668e-07,49.32979964744537,-11.904038828772237
Gen_8_Cross_70554,Gen_8_Cross_70554__3,0.0001268764934875564,6.201674817978091e-06,20.458424088885312,-8.554171769422489
Gen_8_Cross_994185,Gen_8_Cross_994185__2,2.9232095495938332e-06,2.505849929223415e-07,11.665541162314383,-11.736726219483602
Gen_8_Mutant_8_460912,Gen_8_Mutant_8_460912__2,1.4546357831548591e-05,1.2751911298823975e-07,114.0719809813146,-11.041376849958718
Gen_8_Cross_178236,Gen_8_Cross_178236__4,1.0543581073797107e-05,1.509802801699513e-07,69.83416020905976,-11.298207059973853
